words,tags,frequency
1-living,1,5.044136191677175e-06
1-minute,3,1.5132408575031526e-05
1-train,1,5.044136191677175e-06
1/2ft-wide,1,5.044136191677175e-06
10-12,1,5.044136191677175e-06
10-15,1,5.044136191677175e-06
10-20,1,5.044136191677175e-06
10-ft,1,5.044136191677175e-06
10-min,3,1.5132408575031526e-05
10-story,2,1.008827238335435e-05
10min,1,5.044136191677175e-06
10mins,1,5.044136191677175e-06
10th,6,3.0264817150063052e-05
110th,1,5.044136191677175e-06
11th-14th,1,5.044136191677175e-06
12-,1,5.044136191677175e-06
12-floor,1,5.044136191677175e-06
120-square-foot,1,5.044136191677175e-06
125th,1,5.044136191677175e-06
13-,1,5.044136191677175e-06
13-14,1,5.044136191677175e-06
13-feet,2,1.008827238335435e-05
13-foo,1,5.044136191677175e-06
13th,1,5.044136191677175e-06
14-15,1,5.044136191677175e-06
14-story,5,2.5220680958385876e-05
145th,1,5.044136191677175e-06
14th,1,5.044136191677175e-06
15-,1,5.044136191677175e-06
15-2,2,1.008827238335435e-05
15-20,3,1.5132408575031526e-05
15-20mins,1,5.044136191677175e-06
15-min,2,1.008827238335435e-05
15-minute,2,1.008827238335435e-05
15-minutes,1,5.044136191677175e-06
15th-semptember,1,5.044136191677175e-06
17-may,1,5.044136191677175e-06
17th,1,5.044136191677175e-06
19-aug,1,5.044136191677175e-06
19th,16,8.07061790668348e-05
1ba,1,5.044136191677175e-06
1br-,1,5.044136191677175e-06
1br-fully,1,5.044136191677175e-06
1st,12,6.0529634300126105e-05
1st-floor,3,1.5132408575031526e-05
1st-j,1,5.044136191677175e-06
1st-level,1,5.044136191677175e-06
2-,7,3.530895334174023e-05
2-3,5,2.5220680958385876e-05
2-4,2,1.008827238335435e-05
2-b,4,2.01765447667087e-05
2-bath,6,3.0264817150063052e-05
2-bathroo,1,5.044136191677175e-06
2-bathroom,2,1.008827238335435e-05
2-bathrooms,2,1.008827238335435e-05
2-bd.,1,5.044136191677175e-06
2-bdr,6,3.0264817150063052e-05
2-bdrm/1-bath,1,5.044136191677175e-06
2-be,2,1.008827238335435e-05
2-bed,10,5.044136191677175e-05
2-bed/2-ba,1,5.044136191677175e-06
2-bedr,3,1.5132408575031526e-05
2-bedroom,134,0.0006759142496847415
2-bedroom-apartment,1,5.044136191677175e-06
2-bedroom/1,1,5.044136191677175e-06
2-bedroom/2,1,5.044136191677175e-06
2-bedroom/2-,1,5.044136191677175e-06
2-bedroomed,1,5.044136191677175e-06
2-bedrooms,2,1.008827238335435e-05
2-bedrooms/1-bathroom,1,5.044136191677175e-06
2-blocks,1,5.044136191677175e-06
2-br,8,4.03530895334174e-05
2-fam,1,5.044136191677175e-06
2-famil,1,5.044136191677175e-06
2-family,4,2.01765447667087e-05
2-floo,1,5.044136191677175e-06
2-floor,7,3.530895334174023e-05
2-floors,1,5.044136191677175e-06
2-flr,1,5.044136191677175e-06
2-level,1,5.044136191677175e-06
2-min,1,5.044136191677175e-06
2-minute,1,5.044136191677175e-06
2-person,4,2.01765447667087e-05
2-private,1,5.044136191677175e-06
2-rm,1,5.044136191677175e-06
2-room,1,5.044136191677175e-06
2-story,10,5.044136191677175e-05
2-wing,1,5.044136191677175e-06
2.5-bedroom,1,5.044136191677175e-06
20-25,1,5.044136191677175e-06
20-30,2,1.008827238335435e-05
20-august,1,5.044136191677175e-06
20-min,3,1.5132408575031526e-05
20-minute,3,1.5132408575031526e-05
2017-we,1,5.044136191677175e-06
2018-,1,5.044136191677175e-06
20th,7,3.530895334174023e-05
24-h,1,5.044136191677175e-06
24-hour,7,3.530895334174023e-05
24-year,1,5.044136191677175e-06
25-30,1,5.044136191677175e-06
25-fo,1,5.044136191677175e-06
25-foot,1,5.044136191677175e-06
25th,1,5.044136191677175e-06
2nd,31,0.00015636822194199244
2nd-floor,4,2.01765447667087e-05
3-,5,2.5220680958385876e-05
3-15,1,5.044136191677175e-06
3-4,2,1.008827238335435e-05
3-6,3,1.5132408575031526e-05
3-b,1,5.044136191677175e-06
3-bdm,2,1.008827238335435e-05
3-bdr,3,1.5132408575031526e-05
3-bdrm,1,5.044136191677175e-06
3-be,5,2.5220680958385876e-05
3-bed,9,4.539722572509458e-05
3-bedr,2,1.008827238335435e-05
3-bedro,1,5.044136191677175e-06
3-bedroo,2,1.008827238335435e-05
3-bedroom,54,0.00027238335435056745
3-bedroom/1-bath,1,5.044136191677175e-06
3-bl,1,5.044136191677175e-06
3-br,5,2.5220680958385876e-05
3-br/2-bath,1,5.044136191677175e-06
3-fa,1,5.044136191677175e-06
3-fam,1,5.044136191677175e-06
3-family,2,1.008827238335435e-05
3-floor,4,2.01765447667087e-05
3-level,1,5.044136191677175e-06
3-min,1,5.044136191677175e-06
3-minute,1,5.044136191677175e-06
3-night,1,5.044136191677175e-06
3-people,2,1.008827238335435e-05
3-person,2,1.008827238335435e-05
3-private,1,5.044136191677175e-06
3-room,2,1.008827238335435e-05
3-st,1,5.044136191677175e-06
3-storey,1,5.044136191677175e-06
3-story,10,5.044136191677175e-05
3-true,1,5.044136191677175e-06
30-40,5,2.5220680958385876e-05
30-night,1,5.044136191677175e-06
30th,4,2.01765447667087e-05
31-nov,1,5.044136191677175e-06
32-story,2,1.008827238335435e-05
34th,1,5.044136191677175e-06
35th,2,1.008827238335435e-05
3br/2full-bath,1,5.044136191677175e-06
3rd-floor,2,1.008827238335435e-05
4-,1,5.044136191677175e-06
4-12,1,5.044136191677175e-06
4-5,5,2.5220680958385876e-05
4-5-6,1,5.044136191677175e-06
4-6,1,5.044136191677175e-06
4-8,1,5.044136191677175e-06
4-bath,1,5.044136191677175e-06
4-bedroom,13,6.557377049180328e-05
4-br,1,5.044136191677175e-06
4-floor,1,5.044136191677175e-06
4-room,4,2.01765447667087e-05
4-story,5,2.5220680958385876e-05
400-squar,1,5.044136191677175e-06
40th,2,1.008827238335435e-05
44-story,1,5.044136191677175e-06
450-sq-ft,1,5.044136191677175e-06
46m²-,1,5.044136191677175e-06
4bedrooms,1,5.044136191677175e-06
4br-apt,1,5.044136191677175e-06
4th,23,0.00011601513240857504
5-,1,5.044136191677175e-06
5-1,1,5.044136191677175e-06
5-10,4,2.01765447667087e-05
5-10min,1,5.044136191677175e-06
5-6,1,5.044136191677175e-06
5-7,5,2.5220680958385876e-05
5-73skyview,1,5.044136191677175e-06
5-773sky,1,5.044136191677175e-06
5-bedroom,1,5.044136191677175e-06
5-floor,2,1.008827238335435e-05
5-min,1,5.044136191677175e-06
5-minu,1,5.044136191677175e-06
5-minute,5,2.5220680958385876e-05
5-star,4,2.01765447667087e-05
5-star-rate,1,5.044136191677175e-06
5-storey,1,5.044136191677175e-06
500-sq,1,5.044136191677175e-06
50th,4,2.01765447667087e-05
55th,1,5.044136191677175e-06
57-11247,1,5.044136191677175e-06
5mins,1,5.044136191677175e-06
5mos-1,1,5.044136191677175e-06
5th,26,0.00013114754098360657
5th-floor,1,5.044136191677175e-06
6-12,1,5.044136191677175e-06
6-star,1,5.044136191677175e-06
600,1,5.044136191677175e-06
7-10,3,1.5132408575031526e-05
7-19,1,5.044136191677175e-06
7-foot,1,5.044136191677175e-06
7-story,1,5.044136191677175e-06
70-something,1,5.044136191677175e-06
700-800,1,5.044136191677175e-06
70th,1,5.044136191677175e-06
750-square-,1,5.044136191677175e-06
7th,1,5.044136191677175e-06
8/21-8/27,1,5.044136191677175e-06
800-sq,1,5.044136191677175e-06
85th,1,5.044136191677175e-06
8am-midnight,1,5.044136191677175e-06
900-sq-ft,1,5.044136191677175e-06
<,3,1.5132408575031526e-05
=,5,2.5220680958385876e-05
>,12,6.0529634300126105e-05
@,46,0.00023203026481715007
[,18,9.079445145018916e-05
],14,7.061790668348046e-05
___________,1,5.044136191677175e-06
_contact,1,5.044136191677175e-06
_triplex,1,5.044136191677175e-06
a+,1,5.044136191677175e-06
a-b-c-d,1,5.044136191677175e-06
a/b/c/d,3,1.5132408575031526e-05
a/c,20,0.0001008827238335435
a/c/,1,5.044136191677175e-06
a/c/1,1,5.044136191677175e-06
a/c/2/3,1,5.044136191677175e-06
a/c/3,1,5.044136191677175e-06
a/cs,2,1.008827238335435e-05
a/d,2,1.008827238335435e-05
a/g,1,5.044136191677175e-06
aa,1,5.044136191677175e-06
ab,2,1.008827238335435e-05
abcd,4,2.01765447667087e-05
able,12,6.0529634300126105e-05
abo,4,2.01765447667087e-05
abode,22,0.00011097099621689785
abou,4,2.01765447667087e-05
about,4,2.01765447667087e-05
abov,2,1.008827238335435e-05
abroad,2,1.008827238335435e-05
abs,3,1.5132408575031526e-05
absolut,1,5.044136191677175e-06
absolute,8,4.03530895334174e-05
absolutely,43,0.00021689785624211854
abu,1,5.044136191677175e-06
abundance,3,1.5132408575031526e-05
abundant,2,1.008827238335435e-05
abyssi,1,5.044136191677175e-06
abyssinia,1,5.044136191677175e-06
abyssinian,1,5.044136191677175e-06
ac,68,0.0003430012610340479
academic,1,5.044136191677175e-06
acadia,1,5.044136191677175e-06
acbd,2,1.008827238335435e-05
acc,16,8.07061790668348e-05
acce,11,5.5485498108448925e-05
accents,3,1.5132408575031526e-05
accept,7,3.530895334174023e-05
accepted,1,5.044136191677175e-06
accepting,5,2.5220680958385876e-05
acces,8,4.03530895334174e-05
access,132,0.0006658259773013872
accessi,2,1.008827238335435e-05
accessib,1,5.044136191677175e-06
accessibility,2,1.008827238335435e-05
accessibl,2,1.008827238335435e-05
accessible,12,6.0529634300126105e-05
accessing,1,5.044136191677175e-06
acco,5,2.5220680958385876e-05
accom,2,1.008827238335435e-05
accomm,5,2.5220680958385876e-05
accommo,5,2.5220680958385876e-05
accommod,2,1.008827238335435e-05
accommodat,1,5.044136191677175e-06
accommodate,14,7.061790668348046e-05
accommodates,21,0.00010592686002522068
accommodati,1,5.044136191677175e-06
accommodating,1,5.044136191677175e-06
accommodation,16,8.07061790668348e-05
accommodations,13,6.557377049180328e-05
accomodate,2,1.008827238335435e-05
accomodating,1,5.044136191677175e-06
accomodation,1,5.044136191677175e-06
accomodations,1,5.044136191677175e-06
accomplishe,1,5.044136191677175e-06
accomplished,2,1.008827238335435e-05
according,1,5.044136191677175e-06
account,2,1.008827238335435e-05
accounts,1,5.044136191677175e-06
accupied,1,5.044136191677175e-06
ace,2,1.008827238335435e-05
acess,1,5.044136191677175e-06
acgj,1,5.044136191677175e-06
achieved,1,5.044136191677175e-06
achilles,1,5.044136191677175e-06
achor,1,5.044136191677175e-06
acogedor,2,1.008827238335435e-05
acogedora,5,2.5220680958385876e-05
acojedor,1,5.044136191677175e-06
acomódate,1,5.044136191677175e-06
acr,6,3.0264817150063052e-05
acres,1,5.044136191677175e-06
acro,2,1.008827238335435e-05
acros,3,1.5132408575031526e-05
act,2,1.008827238335435e-05
