words,tags,frequency
%,15,7.566204287515763e-05
'best,1,5.044136191677175e-06
'burg,1,5.044136191677175e-06
'in,1,5.044136191677175e-06
'm,109,0.0005498108448928121
'park,1,5.044136191677175e-06
'premium,1,5.044136191677175e-06
're,84,0.0004237074401008827
's,194,0.000978562421185372
'south,1,5.044136191677175e-06
'the,3,1.5132408575031526e-05
'unic,1,5.044136191677175e-06
've,33,0.0001664564943253468
'white,2,1.008827238335435e-05
*,789,0.0039798234552332916
+,44,0.0002219419924337957
+1,1,5.044136191677175e-06
+beautiful,1,5.044136191677175e-06
+private,1,5.044136191677175e-06
",,2",1,5.044136191677175e-06
",3",2,1.008827238335435e-05
",8",1,5.044136191677175e-06
",8,207",3,1.5132408575031526e-05
-1,2,1.008827238335435e-05
-10,2,1.008827238335435e-05
-15,2,1.008827238335435e-05
-19,2,1.008827238335435e-05
-1bd,1,5.044136191677175e-06
-2,4,2.01765447667087e-05
-20,1,5.044136191677175e-06
-5,1,5.044136191677175e-06
-a/c,1,5.044136191677175e-06
-air,1,5.044136191677175e-06
-an,1,5.044136191677175e-06
-apartment,2,1.008827238335435e-05
-available,1,5.044136191677175e-06
-beautiful,2,1.008827238335435e-05
-big,1,5.044136191677175e-06
-bright,1,5.044136191677175e-06
-christophe,1,5.044136191677175e-06
-clean,1,5.044136191677175e-06
-comfortably,1,5.044136191677175e-06
-cute,2,1.008827238335435e-05
-discretion,1,5.044136191677175e-06
-fully,4,2.01765447667087e-05
-great,2,1.008827238335435e-05
-gym,14,7.061790668348046e-05
-h,1,5.044136191677175e-06
-hardwood,1,5.044136191677175e-06
-large,1,5.044136191677175e-06
-located,1,5.044136191677175e-06
-m,1,5.044136191677175e-06
-mask,1,5.044136191677175e-06
-movie,14,7.061790668348046e-05
-newly,2,1.008827238335435e-05
-nice,1,5.044136191677175e-06
-no,6,3.0264817150063052e-05
-one,2,1.008827238335435e-05
-our,1,5.044136191677175e-06
-panoramic,1,5.044136191677175e-06
-pen,1,5.044136191677175e-06
-perfect,2,1.008827238335435e-05
-please,1,5.044136191677175e-06
-pri,1,5.044136191677175e-06
-priva,1,5.044136191677175e-06
-private,1,5.044136191677175e-06
-queens,1,5.044136191677175e-06
-quiet,2,1.008827238335435e-05
-r,1,5.044136191677175e-06
-second,2,1.008827238335435e-05
-sho,1,5.044136191677175e-06
-single,1,5.044136191677175e-06
-spacious,2,1.008827238335435e-05
-spring,1,5.044136191677175e-06
-sun-filled,1,5.044136191677175e-06
-sunny,2,1.008827238335435e-05
